Day,Time,Arena,Sex,Treatment,Soc_index,ExperimentalBlock,Strain_ID
3,2,8,Female,Control,1.428571429,A,55928
3,2,9,Male,RNAi,0.285714286,A,55928
3,2,10,Female,RNAi,0.857142857,A,55928
3,2,11,Male,Control,1.428571429,A,55928
3,2,12,Female,Control,2.285714286,A,55928
3,2,13,Female,RNAi,2,A,55928
3,2,14,Male,Control,1.428571429,A,55928
3,2,15,Male,RNAi,1.428571429,A,55928
3,2,16,Female,Control,0.571428571,A,55928
3,2,17,Male,Control,1.142857143,A,55928
3,2,18,Female,RNAi,4.571428571,A,55928
3,2,19,Female,Control,2.571428571,A,55928
3,2,20,Male,RNAi,1.142857143,A,55928
3,2,21,Female,Control,2.285714286,A,55928
3,2,22,Male,Control,0.571428571,A,55928
3,2,23,Male,RNAi,0.857142857,A,55928
3,2,24,Female,RNAi,2.857142857,A,55928
3,2,25,Female,RNAi,1.428571429,A,55928
3,2,26,Female,Control,3.142857143,A,55928
3,2,27,Male,RNAi,1.142857143,A,55928
3,2,28,Male,Control,2.285714286,A,55928
3,2,29,Male,Control,1.428571429,A,55928
3,2,30,Female,RNAi,1.428571429,A,55928
3,2,31,Female,Control,2.571428571,A,55928
3,2,32,Male,RNAi,0.571428571,A,55928
3,2,33,Female,RNAi,2.285714286,A,55928
3,2,34,Male,RNAi,0.571428571,A,55928
3,2,35,Female,Control,1.714285714,A,55928
3,2,36,Male,Control,0.857142857,A,55928
3,2,37,Female,RNAi,1.714285714,A,55928
3,2,38,Male,Control,0.571428571,A,55928
3,2,39,Male,RNAi,1.428571429,A,55928
3,2,40,Female,Control,1.142857143,A,55928
3,2,41,Female,RNAi,1.142857143,A,55928
3,2,42,Female,Control,1.142857143,A,55928
3,2,43,Male,Control,1.142857143,A,55928
3,2,44,Male,RNAi,1.714285714,A,55928
3,2,45,Female,Control,6,A,55928
3,2,46,Female,RNAi,3.142857143,A,55928
3,2,47,Male,RNAi,0.571428571,A,55928
3,2,48,Male,Control,1.428571429,A,55928
3,3,1,Male,RNAi,0.857142857,A,55928
3,3,2,Male,Control,2,A,55928
3,3,3,Female,Control,2,A,55928
3,3,4,Female,RNAi,4.285714286,A,55928
3,3,5,Female,RNAi,6,A,55928
3,3,6,Male,Control,1.428571429,A,55928
3,3,7,Male,RNAi,0.571428571,A,55928
3,3,8,Female,Control,1.142857143,A,55928
3,3,9,Male,RNAi,1.047619048,A,55928
3,3,10,Female,RNAi,1.714285714,A,55928
3,3,11,Male,Control,3.142857143,A,55928
3,3,12,Female,Control,3.142857143,A,55928
3,3,13,Female,RNAi,1.428571429,A,55928
3,3,14,Male,Control,0.795918367,A,55928
3,3,15,Male,RNAi,0.285714286,A,55928
3,3,16,Female,Control,1.714285714,A,55928
3,3,17,Male,Control,1.428571429,A,55928
3,3,18,Female,RNAi,6,A,55928
3,3,19,Female,Control,2,A,55928
